"","Sampling Date","Sampling Location","Total fluorescence","PARAFAC C1","PARAFAC C2","PARAFAC C3","PARAFAC C4","PARAFAC C5","FI","HIX","Slope ratio","Drip water d13C_DIC","Drip water d18O","Normalized drip rate","Drip water Ca concentration (ppm)","Drip water Sr concentration (ppm)","Drip water Y concentration (ppm)","Drip water Cu concentration (ppm)"
"1",2020-05-05,"GRA",63.8136005,0.047526841,0.005403608,0.017400985,0,0.131031319,1.835580042,0.958272513,1.418651023,NA,NA,NA,NA,NA,NA,NA
"2",2020-05-05,"SKY",28.17014353,0.026540751,0.06238046,0.018042191,0.485857975,0.008783313,1.524466357,0.277950013,0.117745821,-13.44812678,-6.483875806,0.0113667613896782,43.47325864,0.036964302,8.07e-06,2.29e-05
"3",2020-05-05,"PLA",25.83694053,0.041450817,0.008082207,0.034747225,0,0.017822815,1.440402757,0.704495013,-0.845089281,-14.72591231,-6.244910546,0.652027027027027,50.13789418,0.050794004,2.43e-05,0.000104016
"4",2020-05-05,"GLO",28.51133853,0.044814238,0.008862559,0.040068082,0,0.020315147,1.441693285,0.683939165,1.886830701,-13.78016596,-6.541007546,0.888888888888889,37.96384232,0.034254133,2.89e-05,3.09e-05
"5",2020-05-28,"PLA",20.34090193,0.040093327,0,0.016577171,0.000561933,0.01430308,1.777907215,0.898030845,-0.414011305,-15.82834509,-6.196122422,0.783783783783784,48.98866313,0.050647784,3.1e-05,3.01e-05
"6",2020-05-28,"GLO",23.72476695,0.024399744,0.040147051,0.013480693,0.396344486,0.007741612,1.697000098,0.312645486,0.873059698,-11.54068916,-6.636184009,1,41.06809846,0.037130701,1.91e-05,4.58e-05
"7",2020-05-28,"SKY",12.85716724,0.023589418,0,0.005254304,0,0.01272112,1.97021113,0.942215181,0.742445879,NA,NA,NA,NA,NA,NA,NA
"8",2020-05-28,"GRA",41.7033005,0.018746957,0.413132594,0.004833178,0.610505064,0.009373809,1.568899546,0.129033045,1.419498393,-10.83739905,-5.689765553,0.459677419354839,40.0369763,0.032777426,1.86e-06,0
"9",2020-06-24,"SKY",86.50077076,0.132170122,0.009017239,0.224706921,0.001269278,0.036288694,2.043896976,0.494520664,1.116745273,NA,-6.142967295,0.641672013933449,66.09930877,0.065088723,5.21e-05,0.000155977
"10",2020-06-24,"GLO",18.0788443,0.023218971,0.019208666,0.02567971,0.031149603,0.013150304,1.611781895,0.571361768,1.667706491,-14.21518074,-6.509841901,0.638888888888889,46.98932418,0.042587726,6.63e-06,0.000212026
"11",2020-06-24,"PLA",20.98761038,0.035444511,0.005867763,0.028849889,0,0.015634207,1.655160882,0.738573846,-0.369281156,-17.08041068,NA,0.097972972972973,51.81176402,0.055016766,0.000276312,0.000128968
"12",2020-06-24,"GRA",10.73874584,0.014413901,0.000591301,0.013376133,0.000590819,0.010686593,1.600853,0.809501407,1.439463233,-12.99527226,-5.629134395,0.548387096774194,45.03311025,0.037667429,7.2e-06,1.55e-05
"13",2020-08-07,"SKY",13.94532707,0.027824591,9.88e-21,0.008772005,1.29e-20,0.011016504,1.708681005,0.931640157,0.433099926,NA,-6.023464497,0.229168576404803,72.77978192,0.076437633,1.36e-05,0.00052968
"14",2020-08-07,"PLA",17.62462028,0.03201827,0.001334668,0.019515199,0,0.012811051,1.508456145,0.827303607,0.094302516,-16.19494717,-6.235784064,0.141891891891892,58.12208365,0.062995359,3.55e-05,5.72e-05
"15",2020-09-11,"FOR",35.60443187,0.065522443,0.013130733,0.016739402,0.083524524,0.026973882,1.681525852,0.719129333,1.139181016,NA,NA,NA,66.58059171,0.055378562,2.25e-05,0.000118811
"16",2020-09-11,"GRA",10.46908491,0.012303286,0.005303927,0.013926824,0.058653157,0.007216057,1.482380898,0.516292063,2.166671252,-13.58537003,-5.569647706,0.274193548387097,57.3280327,0.046014729,1.53e-05,0.000190046
"17",2020-09-11,"GLO",97.12539728,0.063410001,0.682440936,0.212852968,0.123091274,0.037796152,1.423288868,0.18126693,0.063795865,-12.27535688,-6.363436319,0.194444444444444,47.45565139,0.04352134,1.55e-05,0.000264942
"18",2020-09-11,"SKY",21.05177229,0.028527208,0.016404305,0.042665105,0.055014853,0.011336257,1.754360775,0.439940417,0.829803282,NA,-5.955944998,0.320836006966725,64.13626004,0.064368494,4.52e-05,0.000815535
"19",2020-09-11,"PLA",21.86832256,0.03268766,0.013840912,0.039011932,0.007202571,0.01330813,1.802427741,0.555209785,-0.657807122,-15.96750575,-6.145354015,0.0371621621621622,55.00275182,0.057918491,2.6e-05,0.000130919
"20",2020-10-02,"GLO",10.35950402,0.018790812,0.011305786,0.009360552,0.002785547,0.006783874,1.682376839,0.6670638,1.108592177,-14.77491279,-6.174574138,0.666666666666667,47.86503264,0.050219087,1.51e-06,5.01e-05
"21",2020-10-02,"FOR",32.4148099,0.064233706,0,0.018667392,0.001808502,0.02574053,1.700735031,0.825936256,1.560755841,-14.01877419,-6.152709606,0.220338983050847,57.98556084,0.057844043,1.62e-06,5.61e-05
"22",2020-10-02,"GRA",6.975445327,0.010925907,0.000274442,0.004800745,0.000749258,0.006603221,1.536440324,0.828487674,1.819888999,-15.17387015,-5.591737028,0.379032258064516,53.26030154,0.047398818,1.1e-06,3.67e-05
"23",2020-10-02,"SKY",41.9131362,0.056117384,0.00741816,0.087757525,0.013394741,0.025328965,1.678990108,0.535873426,1.597749945,NA,-6.085609297,0.962508020900174,54.78214737,0.056320219,6.7e-05,0.000187843
"24",2020-10-02,"PLA",16.33830065,0.031426097,0,0.020987527,0.001526999,0.009572819,1.85648287,0.716359753,-1.51102354,-10.91479253,-6.20562052,1,49.52829671,0.053447322,0.000105097,5.36e-05
"25",2020-10-16,"GLO",9.688823164,0.017195251,0,0.016097829,0.000334298,0.005701008,1.744556112,0.703427753,1.163744446,-14.32784827,-6.027686079,0.638888888888889,35.28475839,0.045979956,NA,NA
"26",2020-10-16,"SKY",17.19530145,0.024301336,0.015181298,0.038514307,0.000444349,0.009916443,1.630284814,0.477340833,1.023501545,NA,-6.050132892,0.962508020900174,54.28149379,0.056465518,0.000172772,NA
"27",2020-10-16,"FOR",53.66128954,0.108920773,0,0.01765134,0.000492352,0.044357443,1.629493438,0.888001052,0.93598879,-15.57909116,-5.26371142,1,57.99011149,0.062050637,1.99e-06,3.21e-05
